index,speaker,file,word,time,word.duration,c1.duration,vowel.duration,closure.duration,rvot,c2.duration,v2.duration,sentence.duration
1,pl05,pl05-001,pata,1.309955,338.4027571132426,110.0000000000001,78.88594472027455,52.85893572042788,18.255119559297484,71.11405527972536,78.40275711324263,0.9750110000000001
2,pl05,pl05-002,paga,3.354966,405.37213322577384,129.9999999999999,120.00000000000011,52.249337851405286,13.77740478606837,66.02674263747366,89.34539058830015,1.0699769999999997
3,pl05,pl05-003,puku,5.534966,372.835242425583,126.67971394802268,76.58171997079677,68.70712598778539,18.03144009339519,86.73856608118058,82.83524242558293,1.0699769999999997
4,pl05,pl05-004,poto,7.8628202764627115,388.41970261366043,123.98933095022446,95.7270569836295,72.14025076837238,17.20500241634859,89.34525318472097,79.35806149508551,1.0850340000000003
5,pl05,pl05-005,pudu,10.229955,389.8424039489221,129.999999999999,88.38049314955221,70.60991499736602,13.599189123034705,84.20910412040072,87.25280667897017,1.0600000000000005
6,pl05,pl05-006,podo,12.566350926358934,411.91441292629526,133.92291257702203,116.67526474513323,--undefined--,--undefined--,--undefined--,103.27633928523028,1.1099769999999989
7,pl05,pl05-007,pugu,15.080641907796693,430.6474509963749,139.3350922033072,95.0300048064836,83.54530784176895,14.324003909067073,97.86931175083602,98.4130422357481,1.1799549999999996
8,pl05,pl05-008,pada,17.549955,422.6549738990748,139.88433846673587,128.85006560762946,--undefined--,--undefined--,--undefined--,112.65497389907608,1.1249880000000019
9,pl05,pl05-009,poko,19.814989,378.6103111667174,120.000000000001,79.9999999999983,71.69632731844544,32.850560310031085,104.54688762847653,74.06342353824158,1.1049880000000023
10,pl05,pl05-010,paka,22.13114887049978,397.33150572168796,117.31089070038792,110.5878515844978,72.46051946809828,28.446867747238258,100.90738721533654,68.5253762214657,1.0800000000000018
11,pl05,pl05-011,putu,24.663786678013636,368.88205710631894,121.20232198636316,80.27610657461182,75.57826299125026,14.145630434139633,89.72389342538989,77.67973511995407,1.069976999999998
12,pl05,pl05-012,pogo,27.054989,386.20159858837155,124.44319759019962,101.45674457293552,40.999174602273314,10.743765129923588,51.7429397321969,108.55871669303951,1.0299769999999988
13,pl05,pl05-013,pata,29.829955,375.4536948928013,111.66615900316756,95.36933989856067,63.015822321080606,19.94867877719031,82.96450109827092,85.45369489280219,1.0350110000000008
14,pl05,pl05-014,paga,31.944966,422.46151583724156,130.00000000000256,120.99970480674216,57.29985754699385,15.748961353573065,73.04881890056691,98.41299212992993,1.0749659999999963
15,pl05,pl05-015,puku,34.169977,364.6738347358891,129.99999999999545,60.000000000002274,83.4957649366288,27.260357910257937,110.75612284688674,63.917711889004636,1.044988999999994
16,pl05,pl05-016,poto,36.274966,404.3292623284458,135.46904565248497,94.35471755043068,76.49340104520519,16.846749649843673,93.34015069504886,81.16534843048129,1.0550110000000004
17,pl05,pl05-017,pudu,38.239955,406.1994220964493,149.99999999999858,92.47221919211057,63.20838337596513,13.898697632988899,77.10708100895403,86.62012189538615,1.0699770000000015
18,pl05,pl05-018,podo,40.329955,391.7257537039731,131.9966387264344,99.42755182733976,63.33347419025159,8.700772541800461,72.03424673205205,88.26731641814689,1.0500219999999985
19,pl05,pl05-019,pugu,42.454943,437.7223405759878,159.9999999999966,77.85267006592989,84.61831559932875,14.809236228011002,99.42755182733976,100.44211868272157,1.1000000000000014
20,pl05,pl05-020,pada,44.854966,400.85750234462836,128.95358510252208,124.79172321186383,49.026387759752765,7.2283039258635995,56.254691685616365,90.85750234462608,1.0750109999999964
21,pl05,pl05-021,poko,47.169955,417.6640624551382,140.00000000000057,89.9999999999963,79.51053438248579,30.489465617513645,109.99999999999943,77.6640624551419,1.0649879999999996
22,pl05,pl05-022,paka,49.29862229330101,404.8121752970175,121.74802264571838,100.44211868271447,69.60490282946097,33.88091641940605,103.48581924886702,79.13621471971766,1.0599550000000022
23,pl05,pl05-023,putu,51.72147384967639,383.5062713340207,138.48115032360653,76.60702301716782,76.4670862826975,16.925890700136392,93.39297698283389,75.02512101041248,1.0849880000000027
24,pl05,pl05-024,pogo,54.120023,370.14680183287396,129.99999999999545,93.03460780262895,56.869861735435734,21.251786128900108,78.12164786433584,68.99054616591371,1.0499319999999983
25,pl05,pl05-025,pata,56.509977,415.55480324614535,135.53435116099166,89.2818832735216,80.98446792365621,15.399383337538097,96.38385126119431,94.35471755043778,1.1349209999999985
26,pl05,pl05-026,paga,58.684943,412.69818091271304,129.6472719888513,117.85737504679616,--undefined--,--undefined--,--undefined--,102.69818091271077,1.069977999999999
27,pl05,pl05-027,puku,60.939955,373.24753932600885,120.00000000000455,73.56334458253144,85.44716439859457,20.989491018873707,106.43665541746827,73.24753932600458,1.0199540000000056
28,pl05,pl05-028,poto,63.1742240712459,379.0565782076243,115.73092875409685,94.26793934542133,69.24179779308304,16.490262861495353,85.73206065457839,83.32564945352772,1.0449880000000036
29,pl05,pl05-029,pudu,65.47025159078606,373.8587933304416,129.7254092139326,86.66831095666794,55.678778018034336,17.652911025308526,73.33168904334286,84.13338411649818,1.0749659999999892
30,pl05,pl05-030,podo,67.769977,407.915848121732,140.00000000000057,108.79785934812958,50.181632463562664,11.020508188309464,61.20214065187213,97.91584812172971,1.069978000000006
31,pl05,pl05-031,pugu,69.77743601821194,351.6397952772081,117.52998178805285,85.33913087187273,60.98022197603825,23.680647152090728,84.66086912812898,64.10981348915357,1.0099769999999921
32,pl05,pl05-032,pada,72.01143461276007,389.31548762833756,104.33268651081562,119.78938080872581,49.28483024222885,14.474033736604497,63.75886397883335,101.43455632996279,1.019999999999996
