index,speaker,file,word,time,word.duration,c1.duration,vowel.duration,closure.duration,rvot,c2.duration,v2.duration,sentence.duration
1,it02,it02-001,pugu,1.709932,389.9999999999999,110.0000000000001,89.93497451804645,--undefined--,--undefined--,--undefined--,109.99999999999987,1.635011
2,it02,it02-002,butu,4.714966,439.9999999999995,126.32058337468699,134.65477621908573,--undefined--,--undefined--,--undefined--,89.99999999999986,1.6649890000000003
3,it02,it02-003,baca,8.209977,560.0000000000005,109.99999999999943,183.49743690351872,105.82461974094137,30.677943355540194,136.50256309648157,130.0000000000008,1.8249440000000012
4,it02,it02-004,bogo,11.839977,560.0000000000005,160.8220551050472,192.13820602419318,81.36792237345425,25.67181649730621,107.03973887076046,99.99999999999964,1.8249440000000003
5,it02,it02-005,podo,15.489977,480.00000000000045,142.71131165818394,161.50736155354826,--undefined--,--undefined--,--undefined--,99.99999999999964,1.8399550000000016
6,it02,it02-006,bada,19.269955,469.99999999999886,120.000000000001,192.14405896948605,--undefined--,--undefined--,--undefined--,69.99999999999673,1.7649429999999988
7,it02,it02-007,boco,24.084966,519.9999999999995,129.999999999999,154.9166321145634,100.47886252160154,34.60450536383419,135.08336788543573,100.00000000000142,1.644988999999999
8,it02,it02-008,pata,26.754943,559.9999999999987,119.99999999999744,160.00000000000014,113.92390708843791,6.07609291156308,120.000000000001,160.00000000000014,1.7199999999999989
9,it02,it02-009,pogo,29.654989,620.000000000001,137.060773479611,207.80042152971134,--undefined--,--undefined--,--undefined--,179.99999999999972,1.9249880000000026
10,it02,it02-010,paca,32.804966,710.0000000000009,109.99999999999943,172.66079092826914,112.44086665648467,34.898342415246475,147.33920907173115,280.00000000000114,1.8749660000000006
11,it02,it02-011,pudu,35.929977,577.9307165530909,149.99999999999858,162.7452322025391,89.31461811955188,18.54057325681424,107.85519137636612,157.3302929741871,1.9399999999999977
12,it02,it02-012,baga,39.009977,590.0000000000034,119.99999999999744,200.00000000000284,93.827743476254,6.172256523747421,100.00000000000142,170.0000000000017,1.9299779999999984
13,it02,it02-013,poto,42.169977,549.9999999999972,139.06307782269067,146.29142477303247,125.10565647109928,9.539840933172172,134.64549740427145,130.00000000000256,1.8549659999999975
14,it02,it02-014,bucu,44.954966,553.7692664058297,140.05970492814157,139.6418145560716,101.3014667228731,46.06666373280177,147.36813045567487,126.69961646594174,1.8899770000000018
15,it02,it02-015,putu,47.864989,564.645112203955,127.25295627559774,142.74704372439828,109.587671866052,10.412328133952542,120.00000000000455,174.6451122039545,2.0099769999999992
16,it02,it02-016,bugu,50.899955,534.8516726079566,139.27032074269619,119.69298390520322,--undefined--,--undefined--,--undefined--,177.80661725995373,1.8100219999999965
17,it02,it02-017,pada,53.88,519.999999999996,119.99999999999744,212.51042983669066,--undefined--,--undefined--,--undefined--,109.99999999999943,1.7499770000000012
18,it02,it02-018,boto,56.430023,648.1869549040624,140.00000000000057,192.20510022043413,132.82615745806936,4.968742321494801,137.79489977956416,178.18695490406355,2.009931999999999
19,it02,it02-019,poco,59.354989,618.3697711560753,147.4807910844973,162.91545031542398,119.89597235537985,46.06260268070628,165.95857503608613,142.01495472006798,2.0499769999999984
20,it02,it02-020,bodo,62.52327936214494,548.5667823695763,119.7379271162049,219.9836335390657,--undefined--,--undefined--,--undefined--,121.13022859429634,1.9150109999999998
21,it02,it02-021,pucu,65.170023,583.1943658882182,150.00000000000568,120.0877685734838,105.94812966648703,33.96410176002007,139.9122314265071,173.19436588822157,1.9199540000000042
22,it02,it02-022,budu,67.909932,601.9681552373868,134.75107991681057,172.88979002141502,80.73088395694583,9.038814708034693,89.76969866498052,204.55758663418067,1.955010999999999
23,it02,it02-023,bata,71.174943,555.8664752139038,99.99999999999432,160.0000000000108,131.5567664242252,16.74574869515766,148.30251511938286,147.56396009451578,1.7750120000000038
24,it02,it02-024,paga,73.994966,589.9999999999892,109.99999999999943,209.99999999999375,--undefined--,--undefined--,--undefined--,169.9999999999875,1.9449890000000067
25,it02,it02-049,pugu,77.239977,539.4476108577493,130.00000000000966,150.47967117445182,85.1886600905516,22.018497735331266,107.20715782588286,151.76078185740494,1.9499780000000015
26,it02,it02-050,butu,79.914989,564.6574566834204,119.99999999999034,150.00000000000568,122.1828371367053,23.498439191286025,145.68127632799133,148.97618035543303,1.8649879999999968
27,it02,it02-051,baca,82.819977,573.5697113944838,100.00000000000853,173.92924673450239,110.62193065312442,45.44882261237149,156.0707532654959,143.56971139447694,1.9349660000000029
28,it02,it02-052,bogo,85.80282422797178,587.5509169158448,94.67645106701639,221.37581940667417,--undefined--,--undefined--,--undefined--,180.99909762810285,2.0299770000000024
29,it02,it02-053,podo,88.850023,562.164266937188,128.22506515550458,191.7749348445028,--undefined--,--undefined--,--undefined--,142.1642669371863,2.0049430000000115
30,it02,it02-054,bada,91.674943,560.0000000000023,99.99999999999432,213.65393362418672,--undefined--,--undefined--,--undefined--,159.9999999999966,1.9350120000000004
31,it02,it02-055,boco,94.60600925425774,686.404270235812,94.67645106700218,229.7296239126041,154.35032275415494,41.96408313478628,196.31440588894122,165.68378936726447,2.239999999999995
32,it02,it02-056,pata,97.899955,562.6223452958357,114.38363065116164,165.6163693488395,116.69629860058706,3.3037013994032804,119.99999999999034,162.62234529584418,1.8249880000000047
33,it02,it02-057,pogo,100.889955,610.5174159725095,129.99999999999545,210.00000000000796,--undefined--,--undefined--,--undefined--,180.51741597251691,1.9200000000000017
